date,hour,category,size,units_sold,transactions
2026-09-22,11,Womenswear,L,3,6
2026-09-22,11,Womenswear,XL,1,6
2026-09-22,11,Womenswear,XXL,1,6
2026-09-22,12,Womenswear,XS,2,3
2026-09-22,12,Womenswear,S,0,3
2026-09-22,12,Womenswear,M,2,3
2026-09-22,12,Womenswear,L,3,3
2026-09-22,12,Womenswear,XL,0,3
2026-09-22,12,Womenswear,XXL,1,3
2026-09-22,13,Womenswear,XS,0,0
2026-09-22,13,Womenswear,S,0,0
2026-09-22,13,Womenswear,M,0,0
2026-09-22,13,Womenswear,L,0,0
2026-09-22,13,Womenswear,XL,0,0
2026-09-22,13,Womenswear,XXL,0,0
2026-09-22,14,Womenswear,XS,0,0
2026-09-22,14,Womenswear,S,0,0
2026-09-22,14,Womenswear,M,0,0
2026-09-22,14,Womenswear,L,0,0
2026-09-22,14,Womenswear,XL,0,0
2026-09-22,14,Womenswear,XXL,0,0
2026-09-22,15,Womenswear,XS,0,0
2026-09-22,15,Womenswear,S,0,0
2026-09-22,15,Womenswear,M,0,0
2026-09-22,15,Womenswear,L,0,0
2026-09-22,15,Womenswear,XL,0,0
2026-09-22,15,Womenswear,XXL,0,0
2026-09-22,16,Womenswear,XS,0,1
2026-09-22,16,Womenswear,S,0,1
2026-09-22,16,Womenswear,M,1,1
2026-09-22,16,Womenswear,L,0,1
2026-09-22,16,Womenswear,XL,0,1
2026-09-22,16,Womenswear,XXL,0,1
2026-09-22,17,Womenswear,XS,0,1
2026-09-22,17,Womenswear,S,0,1
2026-09-22,17,Womenswear,M,0,1
2026-09-22,17,Womenswear,L,0,1
2026-09-22,17,Womenswear,XL,1,1
2026-09-22,17,Womenswear,XXL,0,1
2026-09-22,18,Womenswear,XS,0,1
2026-09-22,18,Womenswear,S,0,1
2026-09-22,18,Womenswear,M,1,1
2026-09-22,18,Womenswear,L,0,1
2026-09-22,18,Womenswear,XL,0,1
2026-09-22,18,Womenswear,XXL,0,1
2026-09-22,19,Womenswear,XS,0,0
2026-09-22,19,Womenswear,S,0,0
2026-09-22,19,Womenswear,M,0,0
2026-09-22,19,Womenswear,L,0,0
2026-09-22,19,Womenswear,XL,0,0
2026-09-22,19,Womenswear,XXL,0,0
2026-09-22,10,Kidswear,XS,0,0
2026-09-22,10,Kidswear,S,0,0
2026-09-22,10,Kidswear,M,0,0
2026-09-22,10,Kidswear,L,0,0
2026-09-22,10,Kidswear,XL,0,0
2026-09-22,10,Kidswear,XXL,0,0
2026-09-22,11,Kidswear,XS,0,1
2026-09-22,11,Kidswear,S,2,1
2026-09-22,11,Kidswear,M,0,1
2026-09-22,11,Kidswear,L,0,1
2026-09-22,11,Kidswear,XL,1,1
2026-09-22,11,Kidswear,XXL,0,1
2026-09-22,12,Kidswear,XS,0,6
2026-09-22,12,Kidswear,S,0,6
2026-09-22,12,Kidswear,M,2,6
2026-09-22,12,Kidswear,L,4,6
2026-09-22,12,Kidswear,XL,2,6
2026-09-22,12,Kidswear,XXL,0,6
2026-09-22,13,Kidswear,XS,0,3
2026-09-22,13,Kidswear,S,1,3
2026-09-22,13,Kidswear,M,1,3
2026-09-22,13,Kidswear,L,0,3
2026-09-22,13,Kidswear,XL,1,3
2026-09-22,13,Kidswear,XXL,0,3
2026-09-22,14,Kidswear,XS,0,3
2026-09-22,14,Kidswear,S,3,3
2026-09-22,14,Kidswear,M,2,3
2026-09-22,14,Kidswear,L,4,3
2026-09-22,14,Kidswear,XL,0,3
2026-09-22,14,Kidswear,XXL,0,3
2026-09-22,15,Kidswear,XS,0,1
2026-09-22,15,Kidswear,S,0,1
2026-09-22,15,Kidswear,M,1,1
2026-09-22,15,Kidswear,L,0,1
2026-09-22,15,Kidswear,XL,1,1
2026-09-22,15,Kidswear,XXL,0,1
2026-09-22,16,Kidswear,XS,1,2
2026-09-22,16,Kidswear,S,1,2
2026-09-22,16,Kidswear,M,1,2
2026-09-22,16,Kidswear,L,2,2
2026-09-22,16,Kidswear,XL,1,2
2026-09-22,16,Kidswear,XXL,0,2
2026-09-22,17,Kidswear,XS,0,3
2026-09-22,17,Kidswear,S,2,3
2026-09-22,17,Kidswear,M,2,3
2026-09-22,17,Kidswear,L,3,3
2026-09-22,17,Kidswear,XL,1,3
2026-09-22,17,Kidswear,XXL,0,3
2026-09-22,18,Kidswear,XS,1,1
2026-09-22,18,Kidswear,S,1,1
2026-09-22,18,Kidswear,M,2,1
2026-09-22,18,Kidswear,L,0,1
2026-09-22,18,Kidswear,XL,0,1
2026-09-22,18,Kidswear,XXL,1,1
2026-09-22,19,Kidswear,XS,1,3
2026-09-22,19,Kidswear,S,0,3
2026-09-22,19,Kidswear,M,4,3
2026-09-22,19,Kidswear,L,2,3
2026-09-22,19,Kidswear,XL,3,3
2026-09-22,19,Kidswear,XXL,1,3
